"","coefficients..Intercept.","coefficients.as.factor.Position.Yes","coefficients.lag.Tone_Firms.","coefficients.as.factor.Position.Yes.lag.Tone_Firms.","std.error..Intercept.","std.error.as.factor.Position.Yes","std.error.lag.Tone_Firms.","std.error.as.factor.Position.Yes.lag.Tone_Firms.","Level","Max","Min","Intercept_Max","Intercept_Min"
"Great InflationNo",3.19204227207406,NA,-1.81165143772499,NA,0.444944121689268,NA,0.710158698239244,NA,"1.962",-0.418320071779599,-3.20498280367039,4.0650226388284,2.31906190531971
"Great InflationYes",3.3427751796236,NA,-1.1658567634716,NA,0.468965489463886,NA,0.632160583789252,NA,"1.962",0.0744423019229143,-2.40615582886611,4.26288546995174,2.42266488929545
"Post InflationNo",-1.6374146829253,NA,-0.509423573649062,NA,0.225546826935351,NA,0.381637484206665,NA,"1.962",0.239349170364415,-1.25819631766254,-1.19489180847814,-2.07993755737246
"Post InflationYes",-1.87041290590616,NA,0.102874034861671,NA,0.241305086329997,NA,0.342272613958174,NA,"1.962",0.774412903447607,-0.568664833724266,-1.3969723265267,-2.34385348528561
