"","coefficients..Intercept.","coefficients.as.factor.Position.Yes","coefficients.lag.Tone_Household..3.","coefficients.as.factor.Position.Yes.lag.Tone_Household..3.","std.error..Intercept.","std.error.as.factor.Position.Yes","std.error.lag.Tone_Household..3.","std.error.as.factor.Position.Yes.lag.Tone_Household..3.","Level","Max","Min","Intercept_Max","Intercept_Min"
"Great InflationNo",0.741645587157689,NA,-0.849969554881489,NA,0.43715070238384,NA,0.790259258384182,NA,"1.962",0.700519110068276,-2.40045821983125,1.59933526523478,-0.116044090919404
"Great InflationYes",0.430907840121672,NA,1.36753586347165,NA,0.368387835331603,NA,0.572541524524261,NA,"1.962",2.49086233458825,0.244209392355049,1.15368477304228,-0.291869092798933
"Great ModerationNo",-3.06516789357968,NA,0.240825221664411,NA,0.314241215501636,NA,0.425267895102946,NA,"1.962",1.07520083185639,-0.593550388527569,-2.44862662876547,-3.68170915839389
"Great ModerationYes",-2.97269275484511,NA,0.39673923494169,NA,0.230408807842345,NA,0.382509996383973,NA,"1.962",1.14722384784704,-0.353745377963665,-2.52063067385842,-3.42475483583179
"Post-Crisis and afterNo",-1.11617769168493,NA,0.780568114673805,NA,0.334452603223096,NA,0.511367784976477,NA,"1.962",1.78387170879765,-0.222735479450043,-0.459981684161218,-1.77237369920865
"Post-Crisis and afterYes",-1.12133503320711,NA,1.07507180837047,NA,0.270535301026768,NA,0.487203997573468,NA,"1.962",2.03096605160961,0.119177565131322,-0.59054477259259,-1.65212529382163
