"","coefficients..Intercept.","coefficients.as.factor.Position.Yes","coefficients.lag.Tone_Government.","coefficients.as.factor.Position.Yes.lag.Tone_Government.","std.error..Intercept.","std.error.as.factor.Position.Yes","std.error.lag.Tone_Government.","std.error.as.factor.Position.Yes.lag.Tone_Government.","Level","Max","Min","Intercept_Max","Intercept_Min"
"Great InflationNo",2.76773087272303,NA,0.0706157926437291,NA,0.450799147883399,NA,0.640352671066087,NA,"1.962",1.32698773327539,-1.18575614798793,3.65219880087026,1.8832629445758
"Great InflationYes",3.01461137175939,NA,-0.120613633415907,NA,0.449034055628436,NA,0.60970327120508,NA,"1.962",1.07562418468846,-1.31685145152027,3.89561618890238,2.13360655461639
"Post InflationNo",-0.775803737314992,NA,0.538851266725364,NA,0.208729340778828,NA,0.271377654283879,NA,"1.962",1.07129422443033,0.00640830902039347,-0.366276770706931,-1.18533070392305
"Post InflationYes",-0.963323950892002,NA,-0.0999992578915912,NA,0.178064362389365,NA,0.244372133196014,NA,"1.962",0.379458867438989,-0.579457383222171,-0.613961671884068,-1.31268622989994
