"","coefficients..Intercept.","coefficients.as.factor.Position.Yes","coefficients.Tone_Banks","coefficients.as.factor.Position.Yes.Tone_Banks","std.error..Intercept.","std.error.as.factor.Position.Yes","std.error.Tone_Banks","std.error.as.factor.Position.Yes.Tone_Banks","Level","Max","Min","Intercept_Max","Intercept_Min"
"Great InflationNo",4.48697990076796,NA,-1.48934615258662,NA,0.525198057226729,NA,0.980281653037384,NA,"1.962",0.433966450672724,-3.41265875584597,5.5174184890468,3.45654131248912
"Great InflationYes",4.83361987858571,NA,-0.925813352058532,NA,0.633365107563651,NA,0.840241867237305,NA,"1.962",0.72274119146106,-2.57436789557812,6.07628221962559,3.59095753754582
"Post InflationNo",1.11684638090172,NA,-1.56184347237655,NA,0.209304397563939,NA,0.532545566244457,NA,"1.962",-0.51698907140493,-2.60669787334818,1.52750160892217,0.706191152881272
"Post InflationYes",1.38940934632545,NA,-0.297407226982336,NA,0.204233918521568,NA,0.351388684921715,NA,"1.962",0.392017372834069,-0.986831826798741,1.79011629446477,0.988702398186137
