"","Banks$Tone"
"674",1
"675",1
"676",-1
"677",NA
"678",NA
"679",NA
"680",-0.333333333333333
"681",1
"682",NA
"683",NA
"684",NA
"685",NA
"686",NA
"687",1
"688",1
"689",NA
"690",NA
"691",NA
"692",-1
"693",-1
"694",NA
"695",0
"696",-1
"697",-1
"698",NA
"699",0
"700",NA
"701",1
"702",NA
"703",1
"704",NA
"705",NA
"706",NA
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",NA
"713",NA
"714",NA
"715",NA
"716",NA
"717",NA
"718",NA
"719",NA
"720",NA
"721",NA
"722",NA
"723",NA
"724",NA
"725",NA
"726",NA
"727",NA
"728",NA
"729",NA
"730",NA
"731",NA
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",1
"742",NA
"743",NA
"744",-1
"745",-1
"746",-1
"747",NA
"748",NA
"749",NA
"750",NA
"751",NA
"752",NA
"753",NA
"754",NA
"755",NA
"756",NA
"757",NA
"758",NA
"759",NA
"760",NA
"761",NA
"762",NA
"763",-1
"764",NA
"765",0.2
"766",NA
"767",NA
"768",-1
"769",NA
"770",-1
"771",-1
"772",1
"773",1
"774",-0.333333333333333
"775",0
"776",1
"777",NA
"778",NA
"779",-1
"780",1
"781",NA
"782",NA
"783",NA
"784",0
"785",0.6
"786",-1
"787",NA
"788",-1
"789",NA
"790",-1
"791",-1
"792",NA
"793",0
"794",NA
"795",-1
"796",NA
"797",NA
"798",-1
"799",NA
"800",-1
"801",-1
"802",NA
"803",NA
"804",NA
"805",-1
"806",NA
"807",NA
"808",1
"809",-0.333333333333333
"810",NA
"811",-1
"812",NA
"813",NA
"814",-1
"815",-1
"816",-1
"817",NA
"818",-1
"819",1
"820",NA
"821",-0.333333333333333
"822",-1
"823",1
"824",-1
"825",-1
"826",-1
"827",NA
"828",NA
"829",1
"830",NA
"831",NA
"832",NA
"833",NA
"834",0
"835",0
"836",NA
"837",0
"838",NA
"839",1
"840",1
"841",0
"842",NA
"843",NA
"844",0.6
"845",NA
"846",NA
"847",-1
"848",NA
"849",0.333333333333333
"850",NA
"851",1
"852",0
"853",NA
"854",NA
"855",NA
"856",NA
"857",NA
"858",0.0909090909090909
"859",NA
"860",0
"861",0
"862",0
"863",NA
"864",NA
"865",NA
"866",NA
"867",1
"868",NA
"869",NA
"870",0.2
"871",NA
"872",0.333333333333333
"873",-0.428571428571429
"874",0
"875",0.333333333333333
"876",1
"877",NA
"878",NA
"879",-1
"880",NA
"881",NA
"882",-1
"883",NA
"884",-1
"885",1
"886",NA
"887",1
"888",NA
"889",NA
"890",NA
"891",NA
"892",NA
"893",-1
"894",0.333333333333333
"895",NA
"896",-1
"897",NA
"898",-1
"899",1
"900",NA
"901",NA
"902",NA
"903",1
"904",1
"905",1
"906",NA
"907",NA
"908",NA
"909",NA
"910",1
"911",0.157894736842105
"912",NA
"913",NA
"914",1
"915",NA
"916",NA
"917",-1
"918",1
"919",NA
"920",NA
"921",1
"922",1
"923",NA
"924",NA
"925",NA
"926",NA
"927",1
"928",NA
"929",NA
"930",NA
"931",NA
"932",NA
"933",1
"934",NA
"935",1
"936",1
"937",NA
"938",NA
"939",1
"940",1
"941",-1
"942",NA
"943",1
"944",1
"945",-1
"946",NA
"947",1
"948",NA
"949",NA
"950",NA
"951",1
"952",NA
"953",1
"954",NA
"955",NA
"956",1
"957",NA
"958",NA
"959",1
"960",NA
"961",NA
"962",NA
"963",NA
"964",NA
"965",NA
"966",1
"967",NA
"968",1
"969",NA
"970",NA
"971",NA
"972",1
"973",-1
"974",-1
"975",NA
"976",1
"977",NA
"978",NA
"979",NA
"980",-1
"981",NA
"982",1
"983",NA
"984",1
"985",-1
"986",-0.333333333333333
"987",NA
"988",-1
"989",NA
"990",NA
"991",NA
"992",-1
"993",NA
"994",-1
"995",NA
"996",NA
"997",0
"998",1
"999",NA
"1000",-0.2
"1001",-0.333333333333333
"1002",0
"1003",1
"1004",-0.84
"1005",NA
"1006",1
"1007",0
"1008",1
"1009",-1
"1010",1
"1011",NA
"1012",NA
"1013",0.5
"1014",NA
"1015",NA
"1016",1
"1017",NA
"1018",1
"1019",NA
"1020",0
"1021",1
"1022",NA
"1023",NA
"1024",1
"1025",NA
"1026",1
"1027",NA
"1028",NA
"1029",0
"1030",1
"1031",-0.8
"1032",1
"1033",-0.8
"1034",NA
"1035",-1
"1036",NA
"1037",-0.6
"1038",1
"1039",NA
"1040",1
"1041",NA
"1042",NA
"1043",NA
"1044",NA
"1045",1
"1046",-1
"1047",-1
"1048",-1
"1049",0.333333333333333
"1050",-0.333333333333333
"1051",1
"1052",0
"1053",0
"1054",-0.333333333333333
"1055",0.333333333333333
"1056",1
"1057",-0.333333333333333
"1058",NA
"1059",1
"1060",NA
"1061",-1
"1062",1
"1063",NA
"1064",NA
"1065",1
"1066",NA
"1067",NA
"1068",1
"1069",NA
"1070",0.333333333333333
"1071",1
"1072",-1
"1073",-1
"1074",1
"1075",NA
"1076",NA
"1077",NA
"1078",NA
