"Group.1","Group.2","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"Yes","2011-Q1",0.125490196078431,0.428571428571429,0.148148148148148,0
"No","2011-Q2",0.272222222222222,0.428571428571429,-0.490668202764977,-0.25
"Yes","2011-Q2",0.238666666666667,0.5,-0.327272727272727,1
"No","2011-Q3",0.766666666666667,0.1,0.166666666666667,-1
"Yes","2011-Q3",0.0488888888888888,-0.185185185185185,-0.142857142857143,-0.2
"No","2011-Q4",0.0109649122807018,0.15,-0.438988095238095,-0.5
"Yes","2011-Q4",-0.0630952380952381,0.285714285714286,-0.791666666666667,-0.75
"No","2012-Q1",0.368,0.5,-0.256818181818182,NA
"Yes","2012-Q1",-0.0170634920634921,0.92,-0.858585858585858,0.166666666666667
"No","2012-Q2",0.438095238095238,-0.0666666666666666,-0.640989010989011,1
"Yes","2012-Q2",0.35525321239607,0.284848484848485,0.0833333333333334,-1
"No","2012-Q3",0.866666666666667,NA,0.2,-1
"Yes","2012-Q3",0.534126984126984,1,0.25,-0.5
"No","2012-Q4",0.637014032666207,-0.5,-0.524444444444444,-0.666666666666667
"Yes","2012-Q4",0.589635854341737,1,-1,-1
"No","2013-Q1",0.563492063492064,0,-0.516666666666667,-0.111111111111111
"Yes","2013-Q1",0.755128205128205,1,-0.917948717948718,-0.6
"No","2013-Q2",0.3,-0.0666666666666666,-0.365595942519019,0
"Yes","2013-Q2",0.573015873015873,0.444444444444444,-0.742733457019171,0
"No","2013-Q3",0.25,-1,-0.309640522875817,NA
"Yes","2013-Q3",0.725925925925926,1,-0.0666666666666666,NA
"No","2013-Q4",1,0.333333333333333,-0.212454212454212,-0.333333333333333
"Yes","2013-Q4",0.645962779051014,0.309090909090909,-0.285714285714286,0.272727272727273
"No","2014-Q1",0.175757575757576,0,-0.282312925170068,-0.666666666666667
"Yes","2014-Q1",0.566666666666667,0.45,-0.65,-0.666666666666667
"No","2014-Q2",0.482142857142857,-0.181818181818182,-0.261965811965812,-1
"Yes","2014-Q2",0.621212121212121,1,-0.498095238095238,0
"No","2014-Q3",0.71875,0.0666666666666667,0.0461538461538461,0.333333333333333
"Yes","2014-Q3",0.37037037037037,0.9,-0.571428571428571,-1
"No","2014-Q4",0.75,1,-0.351851851851852,0.666666666666667
"Yes","2014-Q4",0.376666666666667,1,0.0178571428571429,1
"No","2015-Q1",0.916666666666667,0.333333333333333,-0.383597883597884,1
"Yes","2015-Q1",0.659876543209877,0.666666666666667,-0.287698412698413,0
"No","2015-Q2",0.591666666666667,0.358333333333333,-0.530612244897959,0.5
"Yes","2015-Q2",0.570923520923521,0.777777777777778,-0.75,1
"No","2015-Q3",0.49375,0.0833333333333333,0.0238095238095239,-1
"Yes","2015-Q3",0.822222222222222,0.733333333333333,-0.333333333333333,-1
"No","2015-Q4",0.745421245421245,0.375,-0.323809523809524,0.666666666666667
"Yes","2015-Q4",0.572161172161172,1,0.111111111111111,-1
"No","2016-Q1",0.835164835164835,0.0476190476190477,-0.466666666666667,1
"Yes","2016-Q1",0.533106575963719,0.861111111111111,-0.25,1
"No","2016-Q2",0.930672268907563,0.166666666666667,-0.925925925925926,NA
"Yes","2016-Q2",0.696818181818182,0.18,0.2,-1
"No","2016-Q3",0.519230769230769,0.447619047619048,-0.46031746031746,NA
"Yes","2016-Q3",0.561111111111111,0.166666666666667,0,NA
"No","2016-Q4",0.5,-0.207142857142857,-0.503703703703704,0.6
"Yes","2016-Q4",0.373015873015873,0.5,-0.666666666666667,-0.333333333333333
"No","2017-Q1",0.671255411255411,-0.416666666666667,-0.333333333333333,0.857142857142857
"Yes","2017-Q1",0.684375,0.481481481481481,-0.1875,0.2
"No","2017-Q2",0.69047619047619,0.2,0.322637362637363,NA
"Yes","2017-Q2",0.6,1,-0.666666666666667,-1
"No","2017-Q3",0.864285714285714,0.738095238095238,0.0994152046783625,NA
"Yes","2017-Q3",0.530065359477124,0.3125,0.185185185185185,-1
"No","2017-Q4",0.933333333333333,NA,-0.166666666666667,NA
"Yes","2017-Q4",0.9375,0.5,0.8,-1
"No","2018-Q1",0.92,0.203703703703704,0.0923076923076924,1
"Yes","2018-Q1",0.712037037037037,0.555555555555555,-0.0666666666666666,0
"No","2018-Q2",0.496470588235294,0.866666666666667,-0.0787037037037037,1
"Yes","2018-Q2",0.822727272727273,0.833333333333333,0.176470588235294,1
"No","2018-Q3",0.803571428571428,0,0.266666666666667,-1
"Yes","2018-Q3",0.904761904761905,0.333333333333333,1,-1
"No","2018-Q4",0.792592592592593,0.625,0.166666666666667,-1
"Yes","2018-Q4",0.418181818181818,-0.375,-1,-1
"No","2019-Q1",0.925925925925926,0.666666666666667,-0.331481481481481,-1
"Yes","2019-Q1",0.831216931216931,-0.157777777777778,0,-0.6
"No","2019-Q2",0.839506172839506,0.277777777777778,-0.257142857142857,NA
"Yes","2019-Q2",0.675579322638146,0.148148148148148,0.15,-1
"No","2019-Q3",0.720899470899471,0,0.277777777777778,1
"Yes","2019-Q3",0.666666666666667,0.666666666666667,0.5,1
"No","2019-Q4",1,0,0.452380952380952,0
"Yes","2019-Q4",0.617948717948718,0.458333333333333,0.666666666666667,NA
"No","2020-Q1",1,0.333333333333333,-0.0055555555555555,0
"Yes","2020-Q1",0.9,0.285714285714286,0.8,1
"No","2020-Q2",NA,0.333333333333333,0.25,1
"Yes","2020-Q2",-0.333333333333333,0,1,NA
"No","2020-Q3",0.554978354978355,0,0.266666666666667,1
"Yes","2020-Q3",0.123809523809524,1,0.142857142857143,0.833333333333333
"No","2020-Q4",0.848484848484848,0.5,0.236363636363636,1
"Yes","2020-Q4",0.0928571428571428,1,0.333333333333333,1
"No","2021-Q1",0.406161616161616,0.4,-0.408263305322129,0.714285714285714
"Yes","2021-Q1",0.206926406926407,1,0.2,0
"No","2021-Q2",0.314285714285714,0,0.285714285714286,1
"Yes","2021-Q2",0.474358974358974,0.25,0.685714285714286,NA
"No","2021-Q3",0.513888888888889,1,0.75,NA
"Yes","2021-Q3",0.203703703703704,-0.333333333333333,0.333333333333333,NA
"No","2021-Q4",0.812121212121212,0.777777777777778,0.307692307692308,NA
"Yes","2021-Q4",0.833333333333333,-0.333333333333333,1,NA
"Yes","2022-Q1",1,0.5,-1,NA
