Group.1,Group.2,Tone_Household,Tone_Firms,Tone_Banks,Tone_Government,Dummy
No,1992-Q1,0.666666667,1,-0.6,-1,C
No,1992-Q2,NA,NA,-0.155555556,-1,C
No,1992-Q3,NA,NA,-0.4,-1,C
No,1992-Q4,1,NA,-0.25,NA,C
No,1993-Q1,0.063492063,NA,-0.485714286,-0.333333333,C
No,1993-Q2,1,NA,-0.857142857,NA,C
No,1993-Q3,NA,1,0.333333333,-1,C
No,1993-Q4,1,1,-1,NA,C
No,1994-Q1,NA,1,0.666666667,-1,C
No,1994-Q2,NA,1,0.333333333,NA,C
No,1994-Q3,1,NA,-0.2,-1,C
No,1994-Q4,1,NA,0.25,NA,C
No,1995-Q1,NA,NA,0.5,NA,C
No,1996-Q2,NA,1,0.4,NA,C
No,1996-Q3,1,NA,NA,NA,C
No,1996-Q4,0,0,1,1,C
No,1997-Q1,1,NA,-0.3125,0.333333333,C
No,1997-Q2,0.785714286,0.52,-0.19047619,-1,C
No,1997-Q3,0.672727273,0.5,-0.833333333,NA,C
No,1997-Q4,1,NA,-0.222222222,0,C
No,1998-Q1,0.636363636,0.544444444,-0.417582418,0.333333333,C
No,1998-Q2,0.666666667,0.366666667,-0.17288961,-0.166666667,C
No,1998-Q3,0.92,1,0.061904762,1,C
No,1998-Q4,0.875,-0.24,-0.283950617,1,C
No,1999-Q1,0.942857143,0.166666667,-0.020833333,0.166666667,C
No,1999-Q2,0.868343195,-0.141025641,-0.650793651,1,C
No,1999-Q3,1,-0.0625,0.238095238,NA,C
No,1999-Q4,0.5,0.777777778,0.186666667,-1,C
No,2000-Q1,0.962962963,0.166666667,0.185185185,1,C
No,2000-Q2,0.923076923,0.806060606,0.444444444,1,C
No,2000-Q3,1,1,0.083333333,NA,C
No,2000-Q4,0.866666667,0.755555556,0.214285714,-1,C
No,2001-Q1,0.3,0.423076923,-0.338095238,NA,C
No,2001-Q2,0.827777778,0.563492063,-0.328924162,0.5,C
No,2001-Q3,0.5,0.4,0.8,-1,C
No,2001-Q4,0.25,0.571428571,0.167857143,0,D
No,2002-Q1,0.727272727,0.725925926,-0.134199134,-1,D
No,2002-Q2,1,1,0.148484848,NA,D
No,2002-Q3,-1,0.666666667,0.625,1,D
No,2002-Q4,0.756410256,0.844155844,0.275630252,-0.833333333,D
No,2003-Q1,0.616326531,0.875,-0.409090909,-1,D
No,2003-Q2,0.80952381,0.851851852,-0.646167558,0,D
No,2003-Q3,0.942857143,0.303921569,-0.16,-1,D
No,2003-Q4,0.330687831,0.393333333,-0.304444444,-0.333333333,D
No,2004-Q1,0.444444444,0.292997199,-0.150793651,-0.6,D
No,2004-Q2,0.164257482,0.598958333,-0.233333333,-0.6,D
No,2004-Q3,0.047619048,0.430555556,-1,0,D
No,2004-Q4,-0.19047619,0.283333333,-0.316666667,-0.6,D
No,2005-Q1,0.26031746,0.275917065,-0.325602968,0.196581197,D
No,2005-Q2,0.221445221,0.691818182,-0.101443001,0.333333333,D
No,2005-Q3,-0.033333333,0.666666667,-0.203571429,1,D
No,2005-Q4,0.307692308,0.097777778,-0.161870809,-0.5,D
No,2006-Q1,0.666666667,0.5,0.056666667,1,D
No,2006-Q2,0.666666667,0.648148148,0.137756133,1,D
No,2006-Q3,1,1,-0.277777778,NA,D
No,2006-Q4,0.72,-0.047619048,-0.214814815,0.777777778,D
No,2007-Q1,0.5,0.560846561,-0.080844156,NA,D
No,2007-Q2,0.512820513,0.27,-0.160606061,0.5,D
No,2007-Q3,0.333333333,1,-0.369047619,0,D
No,2007-Q4,-0.037037037,0.4,-0.466507937,1,D
No,2008-Q1,0.305555556,-0.333333333,-0.530769231,NA,D
No,2008-Q2,0.257575758,-0.333333333,-0.32945845,-1,D
No,2008-Q3,-1,NA,-0.236507937,NA,D
No,2008-Q4,0.722222222,-0.25,-0.251851852,-1,D
No,2009-Q1,1,1,-0.041269841,NA,D
No,2009-Q2,0.619047619,0.303030303,-0.061096681,0.333333333,D
No,2009-Q3,-0.416666667,-0.333333333,-0.027777778,NA,D
No,2009-Q4,0.226190476,0.2,-0.146984127,0.75,D
No,2010-Q1,0,0.142857143,0.023076923,0,D
No,2010-Q2,0.333333333,0.37037037,0.120879121,-0.5,D
No,2010-Q3,0.097222222,0.5,-0.225,0.5,D
No,2010-Q4,0.513605442,0.333333333,-0.0625,0.65,D
No,2011-Q1,0.062433862,0.514285714,0.048251748,-1,D
No,2011-Q2,0.272222222,0.428571429,-0.490668203,-0.25,E
No,2011-Q3,0.766666667,0.1,0.166666667,-1,E
No,2011-Q4,0.010964912,0.15,-0.438988095,-0.5,E
No,2012-Q1,0.368,0.5,-0.256818182,NA,E
No,2012-Q2,0.438095238,-0.066666667,-0.640989011,1,E
No,2012-Q3,0.866666667,NA,0.2,-1,E
No,2012-Q4,0.637014033,-0.5,-0.524444444,-0.666666667,E
No,2013-Q1,0.563492063,0,-0.516666667,-0.111111111,E
No,2013-Q2,0.3,-0.066666667,-0.365595943,0,E
No,2013-Q3,0.25,-1,-0.309640523,NA,E
No,2013-Q4,1,0.333333333,-0.212454212,-0.333333333,E
No,2014-Q1,0.175757576,0,-0.282312925,-0.666666667,E
No,2014-Q2,0.482142857,-0.181818182,-0.261965812,-1,E
No,2014-Q3,0.71875,0.066666667,0.046153846,0.333333333,E
No,2014-Q4,0.75,1,-0.351851852,0.666666667,E
No,2015-Q1,0.916666667,0.333333333,-0.383597884,1,E
No,2015-Q2,0.591666667,0.358333333,-0.530612245,0.5,E
No,2015-Q3,0.49375,0.083333333,0.023809524,-1,E
No,2015-Q4,0.745421245,0.375,-0.323809524,0.666666667,E
No,2016-Q1,0.835164835,0.047619048,-0.466666667,1,E
No,2016-Q2,0.930672269,0.166666667,-0.925925926,NA,E
No,2016-Q3,0.519230769,0.447619048,-0.46031746,NA,E
No,2016-Q4,0.5,-0.207142857,-0.503703704,0.6,E
No,2017-Q1,0.671255411,-0.416666667,-0.333333333,0.857142857,E
No,2017-Q2,0.69047619,0.2,0.322637363,NA,E
No,2017-Q3,0.864285714,0.738095238,0.099415205,NA,E
No,2017-Q4,0.933333333,NA,-0.166666667,NA,E
No,2018-Q1,0.92,0.203703704,0.092307692,1,E
No,2018-Q2,0.496470588,0.866666667,-0.078703704,1,E
No,2018-Q3,0.803571429,0,0.266666667,-1,E
No,2018-Q4,0.792592593,0.625,0.166666667,-1,E
No,2019-Q1,0.925925926,0.666666667,-0.331481481,-1,E
No,2019-Q2,0.839506173,0.277777778,-0.257142857,NA,E
No,2019-Q3,0.720899471,0,0.277777778,1,E
No,2019-Q4,1,0,0.452380952,0,E
