"","Household$Tone"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",-1
"8",-1
"9",NA
"10",-1
"11",NA
"12",1
"13",NA
"14",NA
"15",-1
"16",1
"17",NA
"18",NA
"19",NA
"20",NA
"21",1
"22",NA
"23",NA
"24",NA
"25",1
"26",NA
"27",NA
"28",1
"29",NA
"30",1
"31",NA
"32",NA
"33",NA
"34",1
"35",NA
"36",NA
"37",NA
"38",-1
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",-0.2
"46",NA
"47",NA
"48",0
"49",NA
"50",NA
"51",NA
"52",NA
"53",1
"54",0.333333333333333
"55",NA
"56",1
"57",1
"58",-1
"59",NA
"60",NA
"61",-0.5
"62",NA
"63",0.333333333333333
"64",NA
"65",NA
"66",0.142857142857143
"67",1
"68",NA
"69",0.333333333333333
"70",0.666666666666667
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",0.666666666666667
"77",NA
"78",-1
"79",NA
"80",NA
"81",0.5
"82",NA
"83",NA
"84",NA
"85",-1
"86",-1
"87",NA
"88",NA
"89",1
"90",1
"91",NA
"92",NA
"93",1
"94",1
"95",NA
"96",1
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",-1
"113",NA
"114",NA
"115",NA
"116",NA
"117",-1
"118",NA
"119",NA
"120",NA
"121",1
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",1
"128",-1
"129",NA
"130",-1
"131",NA
"132",NA
"133",0.2
"134",-1
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",1
"143",-1
"144",-1
"145",1
"146",NA
"147",NA
"148",0.333333333333333
"149",NA
"150",-1
"151",1
"152",NA
"153",1
"154",NA
"155",NA
"156",NA
"157",-1
"158",NA
"159",NA
"160",NA
"161",NA
"162",-1
"163",1
"164",NA
"165",1
"166",NA
"167",NA
"168",NA
"169",NA
"170",1
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",-1
"179",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184",1
"185",NA
"186",1
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",0.75
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",1
"221",NA
"222",1
"223",NA
"224",NA
"225",1
"226",NA
"227",NA
"228",1
"229",NA
"230",NA
"231",1
"232",NA
"233",NA
"234",NA
"235",1
"236",NA
"237",0.666666666666667
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",1
"248",NA
"249",NA
"250",NA
"251",NA
"252",0.555555555555556
"253",NA
"254",NA
"255",NA
"256",-0.428571428571429
"257",NA
"258",1
"259",NA
"260",NA
"261",NA
"262",NA
"263",NA
"264",NA
"265",NA
"266",NA
"267",NA
"268",NA
"269",NA
"270",NA
"271",NA
"272",NA
"273",1
"274",1
"275",1
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",1
"282",1
"283",NA
"284",-1
"285",NA
"286",1
"287",NA
"288",1
"289",1
"290",-1
"291",NA
"292",NA
"293",NA
"294",NA
"295",1
"296",NA
"297",NA
"298",NA
"299",NA
"300",1
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",1
"311",1
"312",-1
"313",NA
"314",NA
"315",1
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",-1
"322",NA
"323",NA
"324",NA
"325",1
"326",NA
"327",NA
"328",NA
"329",NA
"330",NA
"331",NA
"332",1
"333",NA
"334",NA
"335",NA
"336",NA
"337",1
"338",1
"339",NA
"340",1
"341",1
"342",1
"343",1
"344",1
"345",NA
"346",1
"347",NA
"348",1
"349",NA
"350",NA
"351",1
"352",1
"353",NA
"354",1
"355",1
"356",1
"357",1
"358",1
"359",NA
"360",NA
"361",NA
"362",NA
"363",1
"364",NA
"365",NA
"366",NA
"367",1
"368",NA
"369",0
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375",NA
"376",1
"377",0
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385",0.636363636363636
"386",NA
"387",NA
"388",NA
"389",-1
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",1
"396",NA
"397",0.333333333333333
"398",1
"399",-1
"400",NA
"401",0.666666666666667
"402",NA
"403",1
"404",1
"405",-1
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",1
"413",NA
"414",NA
"415",NA
"416",-1
"417",NA
"418",NA
"419",-1
"420",-1
"421",NA
"422",NA
"423",NA
"424",-1
"425",NA
"426",NA
"427",NA
"428",1
"429",1
"430",NA
"431",-1
"432",NA
"433",1
"434",NA
"435",1
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",1
"442",NA
"443",NA
"444",1
"445",NA
"446",NA
"447",NA
"448",1
"449",NA
"450",NA
"451",NA
"452",NA
"453",1
"454",0
"455",NA
"456",NA
"457",NA
"458",NA
"459",-1
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",NA
"466",1
"467",NA
"468",NA
"469",-0.333333333333333
"470",NA
"471",NA
"472",NA
"473",NA
"474",0
"475",NA
"476",NA
"477",0
"478",NA
"479",NA
"480",NA
"481",0.714285714285714
"482",NA
"483",0
"484",NA
"485",NA
"486",-1
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",1
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",1
"500",NA
"501",NA
"502",NA
"503",-1
"504",NA
"505",NA
"506",NA
"507",NA
"508",NA
"509",NA
"510",1
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520",NA
"521",0
"522",NA
"523",NA
"524",NA
"525",NA
"526",-1
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",1
"533",NA
"534",NA
"535",NA
"536",NA
"537",1
"538",0
"539",NA
"540",0
"541",0
"542",NA
"543",NA
"544",1
"545",NA
"546",NA
"547",0.6
"548",NA
"549",-0.333333333333333
"550",1
"551",NA
"552",NA
"553",NA
"554",NA
"555",-1
"556",1
"557",1
"558",1
"559",NA
"560",NA
"561",-1
"562",0
"563",-1
"564",NA
"565",NA
"566",NA
"567",NA
"568",0.142857142857143
"569",NA
"570",NA
"571",1
"572",-1
"573",1
"574",NA
"575",NA
"576",NA
"577",NA
"578",NA
"579",NA
"580",NA
"581",NA
"582",-1
"583",NA
"584",1
"585",-1
"586",-1
"587",NA
"588",NA
"589",NA
"590",0.333333333333333
"591",0
"592",-0.666666666666667
"593",-0.333333333333333
"594",NA
"595",1
"596",-0.333333333333333
"597",1
"598",-1
"599",-1
"600",-1
"601",NA
"602",NA
"603",NA
"604",NA
"605",NA
"606",0.333333333333333
"607",1
"608",0.6
"609",NA
"610",NA
"611",NA
"612",1
"613",1
"614",NA
"615",-0.5
"616",NA
"617",-0.333333333333333
"618",0.2
"619",-1
"620",0.6
"621",1
"622",NA
"623",NA
"624",NA
"625",1
"626",-0.333333333333333
"627",-1
"628",NA
"629",0
"630",-1
"631",NA
"632",1
"633",NA
"634",0
"635",0.333333333333333
"636",NA
"637",-0.2
"638",NA
"639",NA
"640",-0.142857142857143
"641",-0.6
"642",NA
"643",NA
"644",1
"645",NA
"646",NA
"647",1
"648",NA
"649",1
"650",1
"651",-1
"652",NA
"653",NA
"654",NA
"655",NA
"656",1
"657",-0.5
"658",NA
"659",1
"660",NA
"661",NA
"662",0.333333333333333
"663",NA
"664",0.333333333333333
"665",NA
"666",-1
"667",NA
"668",NA
"669",-1
"670",-1
"671",-1
"672",NA
"673",-1
"674",0.428571428571429
"675",-0.2
"676",NA
"677",0
"678",1
"679",NA
"680",NA
"681",NA
"682",0
"683",0.142857142857143
"684",NA
"685",0
"686",-1
"687",NA
"688",0.333333333333333
"689",1
"690",1
"691",-1
"692",-1
"693",0.333333333333333
"694",NA
"695",1
"696",-1
"697",NA
"698",NA
"699",NA
"700",NA
"701",NA
"702",NA
"703",1
"704",-1
"705",NA
"706",1
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",NA
"713",NA
"714",NA
"715",NA
"716",-1
"717",-1
"718",NA
"719",NA
"720",NA
"721",NA
"722",NA
"723",NA
"724",NA
"725",NA
"726",NA
"727",0
"728",NA
"729",NA
"730",NA
"731",-1
"732",NA
"733",-1
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",NA
"742",NA
"743",1
"744",NA
"745",NA
"746",NA
"747",NA
"748",NA
"749",NA
"750",-1
"751",NA
"752",NA
"753",0.333333333333333
"754",NA
"755",NA
"756",0.5
"757",0.5
"758",NA
"759",NA
"760",1
"761",1
"762",NA
"763",0.333333333333333
"764",1
"765",NA
"766",NA
"767",-1
"768",NA
"769",1
"770",NA
"771",-1
"772",-1
"773",NA
"774",-1
"775",NA
"776",1
"777",NA
"778",NA
"779",1
"780",NA
"781",NA
"782",1
"783",1
"784",NA
"785",NA
"786",1
"787",-1
"788",1
"789",NA
"790",NA
"791",NA
"792",-1
"793",NA
"794",NA
"795",-1
"796",1
"797",NA
"798",NA
"799",NA
"800",NA
"801",1
"802",-1
"803",1
"804",NA
"805",0.2
"806",-1
"807",NA
"808",1
"809",NA
"810",NA
"811",0
